"No","Tipo","Texto de Encabezado",""
"1","H2","Zapatillas Jordan",""
"2","H2","Musculosas NBA",""
"3","H2","Jersey NFL",""
"4","H2","Buzo NHL",""
"5","H3","Contactos",""
"6","H3","Nosotros",""
